iter	Passed	Remaining
0	1	161
1	2	120
2	3	106
3	3	94
4	4	90
5	5	88
6	6	84
7	7	82
8	7	80
9	8	79
10	9	77
11	10	76
12	11	74
13	11	73
14	12	72
15	13	70
16	14	69
17	14	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	20	64
24	21	64
25	22	63
26	23	62
27	24	62
28	24	61
29	26	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
