iter	Passed	Remaining
0	207	206914
1	208	103926
2	209	69504
3	209	52263
4	210	41910
5	211	35034
6	212	30190
7	214	26596
8	215	23706
9	215	21380
10	216	19479
11	217	17901
12	218	16562
13	218	15420
14	220	14477
15	221	13624
16	222	12856
17	223	12182
18	224	11585
19	225	11058
20	227	10615
21	228	10167
22	229	9752
23	230	9372
24	231	9023
25	236	8850
26	237	8549
27	238	8269
28	238	8001
29	239	7756
30	240	7522
31	241	7305
32	242	7102
33	244	6943
34	245	6766
35	246	6593
36	246	6428
37	248	6295
38	249	6150
39	250	6008
40	251	5872
41	251	5743
42	252	5619
43	253	5503
44	254	5398
45	256	5320
46	257	5218
47	258	5120
48	258	5026
49	259	4937
50	260	4850
51	261	4773
52	263	4706
53	264	4629
54	265	4553
55	265	4480
56	266	4409
57	267	4344
58	269	4291
59	271	4246
60	271	4184
61	272	4123
62	273	4064
63	274	4007
64	274	3954
65	275	3904
66	276	3855
67	277	3806
68	278	3758
69	279	3710
70	280	3666
71	281	3623
72	282	3584
73	283	3550
74	284	3511
75	285	3469
76	286	3429
77	287	3396
78	288	3358
79	289	3323
80	290	3294
81	291	3260
82	291	3223
83	292	3190
84	293	3162
85	294	3129
86	295	3099
87	296	3071
88	297	3045
89	299	3027
90	300	2999
91	301	2971
92	301	2943
93	302	2915
94	303	2888
95	304	2864
96	305	2846
97	306	2822
98	307	2797
99	308	2774
100	309	2750
101	309	2727
102	310	2707
103	313	2700
104	314	2680
105	315	2657
106	315	2635
107	316	2613
108	317	2592
109	317	2571
110	319	2557
111	320	2544
112	321	2525
113	322	2506
114	323	2487
115	323	2469
116	325	2454
117	326	2439
118	328	2433
119	329	2417
120	330	2400
121	331	2386
122	332	2369
123	333	2354
124	334	2340
125	335	2329
126	336	2313
127	337	2301
128	338	2285
129	339	2272
130	340	2258
131	342	2251
132	344	2243
133	344	2229
134	345	2215
135	346	2202
136	347	2188
137	348	2176
138	350	2171
139	351	2161
140	352	2148
141	353	2134
142	354	2126
143	356	2119
144	357	2108
145	358	2097
146	359	2088
147	361	2082
148	362	2071
149	363	2059
150	365	2054
151	366	2044
152	367	2032
153	367	2021
154	368	2011
155	369	1999
156	370	1988
157	371	1978
158	372	1971
159	374	1965
160	375	1954
161	375	1944
162	376	1935
163	377	1924
164	378	1914
165	379	1908
166	380	1898
167	381	1889
168	382	1879
169	383	1871
170	384	1862
171	384	1852
172	385	1842
173	386	1833
174	386	1824
175	387	1815
176	388	1806
177	389	1798
178	390	1789
179	390	1780
180	391	1772
181	392	1763
182	393	1757
183	395	1752
184	396	1745
185	397	1738
186	397	1730
187	398	1722
